"","X","unique_Id","fare_amount","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","total","year","month","day","dayOfWeek","hour","timeOfDay","dist","to_jfk","to_nkw","to_lag","to_msg","to_ts","to_freedom","to_grand","to_bronx","to_nyc"
"1",1,"0000001",4.5,-73.844311,40.721319,-73.84161,40.712278,1,1.50407739677627,"2009","6",15,"2",17,"Evening",1.03076393504951,20.0423999507695,56.233397228333,14.7891833690318,26.4514723761708,25.7304815499662,28.762241549789,24.004664718685,16988.0385836498,27.5725731176621
"2",2,"0000002",16.9,-74.016048,40.711303,-73.979268,40.782004,1,2.82731362192903,"2010","1",5,"3",16,"Evening",8.45013359580599,44.5942980731007,32.9763348524475,23.0070573780708,8.45772240310455,8.51560482904542,8.4971126833736,8.91143540964267,17014.8983535789,8.75573198913706
"3",3,"00000049",5.7,-73.982738,40.76127,-73.991242,40.750562,2,1.7404661748405,"2011","8",18,"5",0,"Night",1.38952522576973,43.4979484959477,34.8934342366466,19.7348043508855,1.67880468030069,1.39190819518756,10.5922936499742,2.26746657420235,17013.5226963016,9.84734448611585
"4",4,"0000001",7.7,-73.98713,40.733143,-73.991567,40.758092,1,2.04122032885964,"2012","4",21,"7",4,"Morning",2.79927023998364,42.5618816210181,33.7209792668541,20.977495165004,2.85918720704589,3.42120243019786,8.54518136860671,3.68052378921072,17013.4777228042,7.70342131212933
"5",5,"000000135",5.3,-73.968095,40.768008,-73.956655,40.783762,1,1.66770682055808,"2010","3",9,"3",7,"Morning",1.99915678799634,43.180949436826,40.5967561074422,14.9966987825472,7.70900461208625,5.41199906425687,16.473288924327,5.72999756556381,17010.2968688087,15.6007449255877
"6",6,"0000002",12.1,-74.000964,40.73163,-73.972892,40.758233,1,2.4932054526027,"2011","1",6,"5",9,"Mid-Day",3.78723908478199,42.252883187568,33.9882575774084,20.5633437187176,4.12249078538147,4.3446408795497,8.45738077959992,3.79604519137266,17013.0489574398,7.64954145748175
"7",7,"0000001",7.5,-73.980002,40.751662,-73.973802,40.764842,1,2.01490302054226,"2012","11",20,"3",20,"Night",1.55580665935005,42.4515831270879,36.6623837656247,17.9810978210702,3.43118783514874,2.07065927451647,11.855368574483,1.64286527532628,17011.9529935017,10.9931495349064
"8",8,"00000081",16.5,-73.9513,40.774138,-73.990095,40.751048,1,2.80336038090653,"2012","1",4,"4",17,"Evening",4.15544429184581,42.4093984121042,38.0112229144597,16.79082241595,4.69870564190007,4.28183126631101,13.2992367512709,4.332823972527,17011.1111307463,12.4492131947618
"9",9,"000000125",9,-74.006462,40.726713,-73.993078,40.731628,1,2.19722457733622,"2012","12",3,"2",13,"Mid-Day",1.2532315127253,42.193731966463,30.7490414379477,23.9107731561359,4.96344718097566,7.11212471124807,4.37769959767376,6.49644904798979,17014.5077040001,3.63744656051236
"10",10,"00000083",8.9,-73.980658,40.733873,-73.99154,40.758138,2,2.18605127673809,"2009","9",2,"4",1,"Night",2.84962679610705,42.1344443211955,34.2706774763586,20.4567986503006,3.00152307531191,3.35691871085451,9.00485194403817,3.46440782178833,17012.9564825771,8.12965103287638
"11",11,"0000002",5.3,-73.996335,40.737142,-73.980721,40.733559,1,1.66770682055808,"2012","4",8,"1",7,"Morning",1.37457699959384,41.1914876192656,32.975284707622,21.6182154598955,3.67131173899205,5.43974521983975,6.67534074860064,4.51355889243,17012.9084030245,5.74581585311049
